x_over_c,x_surface_m,tx,ty,x_probe1_m,y_probe1_m,x_probe2_m,y_probe2_m
0.82,0.3444,0.9412741329666108,-0.3376433126954468,0.3445688216563477,0.0156874858400089,0.34490646496904315,0.01662875997297551
0.83,0.34859999999999997,0.9446209695279867,-0.32816341040403424,0.34876408170520196,0.014205838121068546,0.349092245115606,0.015150459090596534
0.83063,0.34886459999999997,0.9448429758755886,-0.3275236647000671,0.34902836183235,0.014114126758792991,0.34935588549705004,0.01505896973466858
0.84,0.35279999999999995,0.9482867647387717,-0.3174148890982805,0.3529587074445491,0.012774733315425993,0.35327612233364736,0.013723020080164764
0.84434,0.35462279999999996,0.9499649976806176,-0.31235637208429795,0.3547789781860421,0.012170791091988972,0.3550913345581264,0.01312075608966959
0.85,0.357,0.9522232836319746,-0.30540271463944113,0.3571527013573197,0.011399802456065452,0.35745810407195916,0.012352025739697427
0.85921,0.3608682,0.9560420272862694,-0.2932296745937559,0.36101481483729686,0.010187845106201718,0.3613080445118906,0.011143887133487986
0.86,0.36119999999999997,0.9563766911052494,-0.2921363118658385,0.3613460681559329,0.010086452617212357,0.3616382044677987,0.011042829308317606
0.87,0.3654,0.960687856629075,-0.27763076581213764,0.36553881538290606,0.008839845621204287,0.3658164461487182,0.009800533477833362
0.87351,0.3668742,0.9622267302159637,-0.27224937035353264,0.36701032468517675,0.008419029498057356,0.3672825740555303,0.00938125622827332
0.88,0.3696,0.9650928263892682,-0.26190806870345507,0.3697309540343517,0.007664877786527235,0.36999286210305515,0.008629970612916503
0.88825,0.373065,0.9687493696827917,-0.2480416471869066,0.37318902082359345,0.00675273866280839,0.37343706247078035,0.007721488032491182
0.89,0.37379999999999997,0.9695234908970891,-0.2449983685633882,0.37392249918428166,0.0065661608118901425,0.37416749755284506,0.007535684302787232
0.9,0.378,0.9739084698394262,-0.22694116500764558,0.37811347058250383,0.0055480038839836095,0.3783404117475115,0.0065219123538230355
0.90239,0.3790038,0.9749416175002212,-0.22246087850687835,0.37911503043925343,0.005317039974693291,0.37933749131776034,0.006291981592193512
0.91,0.3822,0.9781742261668898,-0.2077863885407474,0.3823038931942704,0.004614397087280041,0.3825116795828111,0.005592571313446931
0.91668,0.3850056,0.9809204807710094,-0.1944093886723887,0.3851028046943362,0.0040396770912297306,0.3852972140830086,0.00502059757200074
0.92,0.3864,0.9822464080468225,-0.18759529279572867,0.3864937976463979,0.0037689961828610273,0.3866813929391936,0.00475124259090785
0.93,0.3906,0.9860514007054632,-0.16644108617403963,0.390683220543087,0.003015108810003209,0.39084966162926105,0.004001160210708672
0.93107,0.3910494,0.986439717795855,-0.1641239871403147,0.39113146199357013,0.002939988705858453,0.39129558598071046,0.003926428423654308
0.94,0.3948,0.9895180512697068,-0.14440923173883935,0.3948722046158694,0.0023556821495961987,0.3950166138476082,0.003345200200865906
0.94509,0.39693779999999995,0.9911309463110934,-0.13288885304823905,0.39700424442652404,0.002057152960471275,0.3971371332795723,0.0030482839067823685
0.95,0.39899999999999997,0.992579510013711,-0.12159735318230108,0.3990607986765911,0.0017932920731852878,0.3991823960297734,0.0027858715831989987
0.95991,0.4031622,0.9951539926077746,-0.09832868857462414,0.40321136434428734,0.0013338540467822992,0.40330969303286196,0.0023290080393900737
0.96,0.40319999999999995,0.9951751129726363,-0.09811470083479092,0.40324905735041733,0.0013301337865775974,0.40334717205125215,0.0023253088995502337
0.97,0.4074,0.9972522160964374,-0.07408115476114274,0.40743704057738056,0.000968013963737969,0.4075111217321417,0.0019652661798344063
0.97394,0.4090548,0.9979184393057461,-0.06448866949770396,0.40908704433474885,0.0008534083444747478,0.40915153300424656,0.001851326783780494
0.98,0.41159999999999997,0.998767882383927,-0.04962577070762682,0.4116248128853538,0.0007083443563583023,0.4116744386560614,0.0017071122387422293
0.9884,0.41512799999999994,0.9995835545617192,-0.028856844071351147,0.41514242842203564,0.0005701474839299243,0.41517128526610697,0.0015697310384916435
0.99,0.4158,0.9996903227598665,-0.024884906676016,0.41581244245333804,0.0005521368580307367,0.41583732736001405,0.0015518271807906032
1.0,0.42,1.0,0.0,0.42,0.0005,0.42,0.0015
1.0031,0.421302,1.0,0.0,0.421302,0.0005,0.421302,0.0015
1.01,0.42419999999999997,1.0,0.0,0.42419999999999997,0.0005,0.42419999999999997,0.0015
1.0175,0.42735,1.0,0.0,0.42735,0.0005,0.42735,0.0015
1.02,0.4284,1.0,0.0,0.4284,0.0005,0.4284,0.0015
1.03,0.4326,1.0,0.0,0.4326,0.0005,0.4326,0.0015
1.0315,0.43323,1.0,0.0,0.43323,0.0005,0.43323,0.0015
1.04,0.4368,1.0,0.0,0.4368,0.0005,0.4368,0.0015
1.0458,0.439236,1.0,0.0,0.439236,0.0005,0.439236,0.0015
1.05,0.441,1.0,0.0,0.441,0.0005,0.441,0.0015
1.06,0.4452,1.0,0.0,0.4452,0.0005,0.4452,0.0015
1.07,0.4494,1.0,0.0,0.4494,0.0005,0.4494,0.0015
1.08,0.4536,1.0,0.0,0.4536,0.0005,0.4536,0.0015
1.09,0.45780000000000004,1.0,0.0,0.45780000000000004,0.0005,0.45780000000000004,0.0015
1.0944,0.459648,1.0,0.0,0.459648,0.0005,0.459648,0.0015
1.1269,0.473298,1.0,0.0,0.473298,0.0005,0.473298,0.0015
1.15,0.48299999999999993,1.0,0.0,0.48299999999999993,0.0005,0.48299999999999993,0.0015
1.16,0.48719999999999997,1.0,0.0,0.48719999999999997,0.0005,0.48719999999999997,0.0015
1.17,0.49139999999999995,1.0,0.0,0.49139999999999995,0.0005,0.49139999999999995,0.0015
1.18,0.49559999999999993,1.0,0.0,0.49559999999999993,0.0005,0.49559999999999993,0.0015
1.19,0.49979999999999997,1.0,0.0,0.49979999999999997,0.0005,0.49979999999999997,0.0015
1.193,0.5010600000000001,1.0,0.0,0.5010600000000001,0.0005,0.5010600000000001,0.0015
1.2,0.504,1.0,0.0,0.504,0.0005,0.504,0.0015
1.21,0.5082,1.0,0.0,0.5082,0.0005,0.5082,0.0015
1.22,0.5124,1.0,0.0,0.5124,0.0005,0.5124,0.0015
1.226,0.5149199999999999,1.0,0.0,0.5149199999999999,0.0005,0.5149199999999999,0.0015
1.23,0.5166,1.0,0.0,0.5166,0.0005,0.5166,0.0015
1.24,0.5207999999999999,1.0,0.0,0.5207999999999999,0.0005,0.5207999999999999,0.0015
1.25,0.525,1.0,0.0,0.525,0.0005,0.525,0.0015
1.26,0.5292,1.0,0.0,0.5292,0.0005,0.5292,0.0015
1.27,0.5334,1.0,0.0,0.5334,0.0005,0.5334,0.0015
1.28,0.5376,1.0,0.0,0.5376,0.0005,0.5376,0.0015
