x_over_c,Cf_exp,Cf_uncertainty,Cf_cfd,Cf_error
1.33,0.00165,4e-05,0.0022435378385853317,0.0005935378385853317
1.34,0.00169,4e-05,0.002253307591122118,0.0005633075911221177
1.35,0.00174,4e-05,0.0022663105019430337,0.0005263105019430337
1.36,0.00178,4e-05,0.002273997256336595,0.0004939972563365951
1.37,0.00183,5e-05,0.0022809836124133235,0.00045098361241332346
1.38,0.00187,4e-05,0.002287334726376233,0.0004173347263762329
1.39,0.00191,4e-05,0.002293109589811533,0.00038310958981153313
1.4,0.00195,4e-05,0.002298361686931179,0.0003483616869311792
1.41,0.00197,3e-05,0.00230536446850744,0.0003353644685074402
1.42,0.00198,4e-05,0.0023095121139758653,0.0003295121139758653
1.43,0.00202,4e-05,0.0023132881290346334,0.0002932881290346333
1.44,0.00207,4e-05,0.00231672722953166,0.00024672722953166014
1.45,0.00208,5e-05,0.002319861059446131,0.00023986105944613124
1.46,0.00212,5e-05,0.0023240515586616215,0.00020405155866162154
1.47,0.00211,5e-05,0.002326541604777565,0.00021654160477756505
1.48,0.00214,4e-05,0.002328814412654166,0.00018881441265416587
1.49,0.00216,4e-05,0.0023307777145502857,0.0001707777145502857
1.5,0.00218,4e-05,0.002333152002473882,0.00015315200247388193
1.51,0.00219,4e-05,0.002334443924635242,0.0001444439246352418
1.52,0.00222,4e-05,0.002335562384132242,0.00011556238413224168
1.53,0.00225,5e-05,0.0023365200126285266,8.652001262852678e-05
1.54,0.00224,4e-05,0.002337293856698949,9.729385669894923e-05
1.55,0.00223,5e-05,0.0023379420520265306,0.00010794205202653041
1.56,0.00228,6e-05,0.002338732967765207,5.873296776520709e-05
1.57,0.00223,0.0001,0.0023391655664119363,0.00010916556641193606
