x_m,x_over_c,y_wall_m,pressure,Cp
-1.3344891667366028,-3.1773551588966735,0.021542521193623543,nan,nan
-1.3344610631465912,-3.177288245587122,0.33290237188339233,nan,nan
-1.334449291229248,-3.1772602172124955,0.3120855391025543,nan,nan
-1.3344414631525676,-3.177241578934685,0.30290982127189636,nan,nan
-1.3343967199325562,-3.177135047458467,0.0766294002532959,nan,nan
-1.3343855142593384,-3.177108367284139,0.03573799878358841,nan,nan
-1.3343058824539185,-3.176918767747425,0.018364042043685913,nan,nan
-1.3342732191085815,-3.176840997877575,0.09092298150062561,nan,nan
-1.334122657775879,-3.1764825185139975,0.015185561962425709,nan,nan
-1.3340563774108887,-3.1763247081211636,0.03887103870511055,nan,nan
-1.3340489864349365,-3.1763071105593728,0.2594558894634247,nan,nan
-1.334015130996704,-3.176226502373105,0.10190232843160629,nan,nan
-1.3339064121246338,-3.175967647915795,0.1645631343126297,nan,nan
-1.333903193473816,-3.1759599844614668,0.010459019802510738,nan,nan
-1.333833932876587,-3.175795078277588,0.07251467555761337,nan,nan
-1.3338065147399902,-3.1757297969999767,0.08018030971288681,nan,nan
-1.333804190158844,-3.1757242622829622,0.21930605173110962,nan,nan
-1.333727240562439,-3.175541048958188,0.04200407862663269,nan,nan
-1.3335044384002686,-3.175010567619687,0.3405909538269043,nan,nan
-1.3334747552871704,-3.174939893540882,0.17476008832454681,nan,nan
-1.3334609270095825,-3.1749069690704346,0.006104826461523771,nan,nan
-1.3334484100341797,-3.174877166748047,0.22692656517028809,nan,nan
-1.3334264755249023,-3.174824941725958,0.002034942153841257,nan,nan
-1.3334214687347412,-3.174813020797003,0.24266289174556732,nan,nan
-1.3333622217178345,-3.1746719564710344,0.20808815956115723,nan,nan
-1.3333515524864197,-3.1746465535390946,0.08757847547531128,nan,nan
-1.3333382606506348,-3.174614906311035,0.15432070195674896,nan,nan
-1.3332839012145996,-3.17448547908238,0.2350248247385025,nan,nan
-1.3332164287567139,-3.1743248303731284,0.08373122662305832,nan,nan
-1.3331902027130127,-3.174262387411935,0.05742104351520538,nan,nan
-1.3331745862960815,-3.174225205466861,0.0620688796043396,nan,nan
-1.3331611156463623,-3.174193132491339,0.3161941468715668,nan,nan
-1.3331358432769775,-3.17413296018328,0.20431216061115265,nan,nan
-1.3331326246261597,-3.1741252967289517,0.04610196873545647,nan,nan
-1.3331236839294434,-3.1741040093558177,0.29880765080451965,nan,nan
-1.333056926727295,-3.173945063636417,0.013153242878615856,nan,nan
-1.3330322206020355,-3.173886239528656,0.11826293915510178,nan,nan
-1.332984447479248,-3.17377249399821,0.12239684164524078,nan,nan
-1.3329566717147827,-3.173706361225673,0.2641102075576782,nan,nan
-1.332909345626831,-3.1735936800638838,0.20053614675998688,nan,nan
-1.3329030275344849,-3.173578636986869,0.2943250834941864,nan,nan
-1.3328900337219238,-3.173547699337914,0.10564583539962769,nan,nan
-1.3328821659088135,-3.173528966449556,0.11397220194339752,nan,nan
-1.3328732252120972,-3.173507679076422,0.1587318629026413,nan,nan
-1.3328337669372559,-3.17341373080299,0.12633198499679565,nan,nan
-1.33282470703125,-3.1733921595982144,0.32111164927482605,nan,nan
-1.3327890634536743,-3.17330729393732,0.21289710700511932,nan,nan
-1.3327324390411377,-3.1731724739074707,0.10968147963285446,nan,nan
-1.332718014717102,-3.1731381302788146,0.32994431257247925,nan,nan
-1.3326826691627502,-3.1730539741970247,0.13026712834835052,nan,nan
-1.3326371908187866,-3.1729456924256825,0.19609478116035461,nan,nan
-1.3326307535171509,-3.172930365517026,0.2806529104709625,nan,nan
-1.3326146602630615,-3.1728920482453846,0.008799050003290176,nan,nan
-1.3325761556625366,-3.172800370625087,0.09619809687137604,nan,nan
-1.3325719833374023,-3.1727904365176247,0.13440485298633575,nan,nan
-1.3325319290161133,-3.172695069085984,0.17873747646808624,nan,nan
-1.3324884176254272,-3.1725914705367315,0.3260291814804077,nan,nan
-1.332473635673523,-3.17255627541315,0.15061455965042114,nan,nan
-1.3323376178741455,-3.1722324235098704,0.004069884307682514,nan,nan
-1.332320213317871,-3.1721909840901694,0.07006478309631348,nan,nan
-1.3323030471801758,-3.172150112333752,0.0,nan,nan
-1.3321908116340637,-3.171882884843009,0.33668363094329834,nan,nan
-1.3321099281311035,-3.171690305074056,0.19154582917690277,nan,nan
-1.3320916891098022,-3.1716468788328624,0.13857300579547882,nan,nan
-1.332063913345337,-3.171580746060326,0.2536427676677704,nan,nan
-1.3319904804229736,-3.171405905768985,0.06484188139438629,nan,nan
-1.3319474458694458,-3.1713034425462996,0.24857579171657562,nan,nan
-1.3319093386332195,-3.171212711031475,0.05473688617348671,nan,nan
-1.3318819999694824,-3.1711476189749583,0.0490773543715477,nan,nan
-1.3318642377853394,-3.171105328060332,0.26876452565193176,nan,nan
-1.3317683935165405,-3.1708771274203347,0.011493273079395294,nan,nan
-1.3316532373428345,-3.170602946054368,0.0928535908460617,nan,nan
-1.3316102027893066,-3.1705004828316827,0.1427411437034607,nan,nan
-1.3315891027450562,-3.1704502446310863,0.18271486461162567,nan,nan
-1.3315790380750383,-3.1704262811310437,0.07551183551549911,nan,nan
-1.3314896821975708,-3.170213529041835,0.03346540406346321,nan,nan
-1.3314807415008545,-3.170192241668701,0.026970425620675087,nan,nan
-1.3314718008041382,-3.170170954295567,0.02372293546795845,nan,nan
-1.3314638137817383,-3.1701519375755676,0.16729865968227386,nan,nan
-1.331451177597046,-3.170121851421538,0.09994161128997803,nan,nan
-1.3313840627670288,-3.1699620542072116,0.16156040132045746,nan,nan
-1.3313671350479126,-3.169921750114078,0.22327464818954468,nan,nan
-1.3312885761260986,-3.16973470506214,0.02054445631802082,nan,nan
-1.3312596082687378,-3.1696657339731855,0.006212001666426659,nan,nan
-1.3312143087387085,-3.169557877949306,0.002034942153841257,nan,nan
-1.331160545349121,-3.1694298698788597,0.03659844398498535,nan,nan
-1.331151270866394,-3.1694077877771285,0.23853321373462677,nan,nan
-1.331105351448059,-3.169298455828712,0.01736597716808319,nan,nan
-1.3310374021530151,-3.1691366717928933,0.2162599265575409,nan,nan
-1.3310112953186035,-3.1690745126633417,0.23089516162872314,nan,nan
-1.330988844235738,-3.1690210577041382,0.07906275242567062,nan,nan
-1.33092200756073,-3.168861922763643,0.014187496155500412,nan,nan
-1.3308314085006714,-3.1686462107158846,0.03973148390650749,nan,nan
-1.3308064937591553,-3.168586889902751,0.06761488318443298,nan,nan
