x_m,Cp_near_wall,Cf,tau_x_Pa
-0.4376158536585366,-0.004978655239948454,-0.0022687844450369273,-1.66361001656
-0.4357012195121951,-0.005049759651829057,-0.0022648789308029,-1.66074625724
-0.4337865853658537,-0.005049759651829057,-0.002260713210352937,-1.65769169898
-0.43187195121951216,-0.005121352591523294,-0.002256262791422693,-1.65442838257
-0.42995731707317075,-0.005121352591523294,-0.0022515010299750224,-1.65093677099
-0.42804268292682923,-0.005121352591523294,-0.0022463993826068633,-1.64719593449
-0.4261280487804878,-0.005193390962272087,-0.0022409262281412948,-1.64318268651
-0.4242134146341463,-0.005193390962272087,-0.0022350474775608394,-1.63887203092
-0.4222987804878049,-0.005265822390961708,-0.0022287254325577335,-1.63423632504
-0.42038414634146337,-0.005265822390961708,-0.002221919240870059,-1.62924561352
-0.41846951219512196,-0.005265822390961708,-0.0022145840560210185,-1.62386701221
-0.41655487804878044,-0.0053385782798412796,-0.002206670680883533,-1.6180644468
-0.41464024390243903,-0.0053385782798412796,-0.0021981253175372187,-1.6117984694
-0.4127256097560975,-0.005411595331360562,-0.0021888878159126257,-1.60502497434
-0.4108109756097561,-0.005411595331360562,-0.0021788924399309653,-1.59769575995
-0.4088963414634146,-0.005411595331360562,-0.0021680657285371293,-1.58975696014
-0.40698170731707317,-0.005484806011869816,-0.002156326639263945,-1.58114914967
-0.40506707317073165,-0.005484806011869816,-0.0021435845201125655,-1.57180585701
-0.40315243902439024,-0.005558130863218309,-0.0021297375530524277,-1.56165242302
-0.4012378048780487,-0.005558130863218309,-0.0021146718462129077,-1.55060533529
-0.3993231707317073,-0.005558130863218309,-0.002098258387162543,-1.5385699941
-0.39740853658536585,-0.005631499845322516,-0.002080352304740266,-1.52544017115
-0.3954939024390244,-0.005631499845322516,-0.0020607874782836385,-1.51109405672
-0.3935792682926829,-0.005704805831639795,-0.002039374783218242,-1.49539297323
-0.39166463414634145,-0.005704805831639795,-0.002015896635179448,-1.47817737466
-0.38975,-0.005704805831639795,-0.0019901016237339935,-1.45926291167
-0.3878353658536585,-0.005777929988199587,-0.001961695937801095,-1.4384341442
-0.38592073170731706,-0.005777929988199587,-0.001930337290349064,-1.41544008669
-0.3840060975609756,-0.005850740708030927,-0.001895613004396118,-1.38997813941
-0.3820914634146341,-0.005850740708030927,-0.0018570452946258525,-1.36169796126
-0.38017682926829266,-0.005850740708030927,-0.0018140125949099941,-1.33014378235
-0.3782621951219512,-0.005923091384060947,-0.0017658413311776645,-1.29482169742
-0.37634756097560973,-0.005923091384060947,-0.0017114559115484877,-1.25494301743
-0.37443292682926826,-0.0059948300865305644,-0.001649975282549653,-1.20986170067
-0.3725182926829268,-0.002913520993130455,-0.0015789643252432115,-1.15779217061
-0.37060365853658533,-0.002913520993130455,-0.0014979261129980407,-1.09837005058
-0.36868902439024387,-0.006065777839071745,-0.0013986268127357193,-1.02555779602
-0.3667743902439024,-0.006065777839071745,-0.0012863539855385636,-0.943232566613
-0.36485975609756094,-0.006135719648789361,-0.0011172238236779426,-0.819216099562
-0.3629451219512195,-0.005621983255791541,-0.001012258556345255,-0.742249215155
-0.361030487804878,-0.005621983255791541,-0.0009682494536375543,-0.709979078499
-0.35911585365853654,-0.006204464864933178,-0.000947755511240548,-0.69495168005
-0.3572012195121951,-0.006204464864933178,-0.000947833958743175,-0.695009202505
-0.3552865853658536,-0.006271824123883819,-0.0009560497722201044,-0.701033534003
-0.35337195121951215,-0.006351371805208836,-0.0009685423483714177,-0.710193846638
-0.3514573170731707,-0.006351371805208836,-0.0009840715623001648,-0.721580805808
-0.3495426829268292,-0.006337533814862977,-0.0010004029586224812,-0.733555973641
-0.34762804878048775,-0.006337533814862977,-0.001016995621776981,-0.745722718122
-0.3457134146341463,-0.006337533814862977,-0.0010338024401478055,-0.758046494164
-0.3437987804878048,-0.006401304879617968,-0.0010510654866735627,-0.770704804291
-0.34188414634146336,-0.006401304879617968,-0.0010689072938812332,-0.783787496765
-0.33996951219512195,-0.006462846562230537,-0.0010875217213105028,-0.797436721129
-0.3380548780487805,-0.006462846562230537,-0.0011069102650326861,-0.811653574393
-0.336140243902439,-0.006462846562230537,-0.0011271504369224851,-0.826494892953
-0.33422560975609755,-0.006521817309488844,-0.0011482328227826262,-0.84195377375
-0.3323109756097561,-0.006521817309488844,-0.0011697661970582077,-0.857743346538
-0.3303963414634146,-0.006577839824453776,-0.0011928736577887394,-0.874687134747
-0.32848170731707316,-0.006577839824453776,-0.001216445581560714,-0.891971495358
-0.3265670731707317,-0.006577839824453776,-0.0012407236294331959,-0.90977362888
-0.3246524390243902,-0.006630521324827034,-0.001265627732198857,-0.928034823726
-0.32273780487804876,-0.006630521324827034,-0.001291169700062938,-0.946763739853
-0.3208231707317073,-0.006679437449383041,-0.0013175043169405686,-0.966073874192
-0.31890853658536583,-0.006679437449383041,-0.0013444982977877573,-0.985867494085
-0.31699390243902437,-0.006679437449383041,-0.0013721957339035717,-1.00617692994
-0.3150792682926829,-0.006724163924468559,-0.0014004781243773527,-1.02691528972
-0.31316463414634144,-0.006724163924468559,-0.001429417672846144,-1.0481355175
-0.31124999999999997,-0.006764184843428012,-0.001458914297974594,-1.06976422759
-0.3093353658536585,-0.006764184843428012,-0.001489043778957137,-1.09185698588
-0.30742073170731704,-0.006764184843428012,-0.001519705438531054,-1.11433996971
-0.3055060975609756,-0.006799023010739931,-0.0015509702624374282,-1.13726523012
-0.3035914634146341,-0.006799023010739931,-0.0015827383012176435,-1.16055947812
-0.30167682926829265,-0.006827878655904386,-0.0016150845661262265,-1.1842777165
-0.2997621951219512,-0.006827878655904386,-0.0016479226086363575,-1.20835655597
-0.2978475609756097,-0.006827878655904386,-0.0016813287674707692,-1.2328519727
-0.29593292682926825,-0.006850654155587726,-0.00171520776538488,-1.25769410365
-0.2940182926829268,-0.006850654155587726,-0.0017496345977316382,-1.28293793995
-0.2921036585365853,-0.0068653970708454455,-0.0017845168362812395,-1.30851570763
-0.29018902439024385,-0.0068653970708454455,-0.0018199380643304796,-1.33448869502
-0.2882743902439024,-0.0068653970708454455,-0.0018558023497651924,-1.36078655889
-0.2863597560975609,-0.006875243092378342,-0.0018922015152050328,-1.38747662914
-0.28444512195121946,-0.006875243092378342,-0.0019290283606576376,-1.41448030025
-0.282530487804878,-0.006875531368839739,-0.0019663851370011064,-1.44187254875
-0.28061585365853653,-0.006875531368839739,-0.00200414847850116,-1.46956291542
-0.27870121951219506,-0.006875531368839739,-0.0020424399973542826,-1.49764057368
-0.2767865853658536,-0.006860831202830828,-0.002081124264009857,-1.52600621839
-0.27487195121951213,-0.006860831202830828,-0.0021203469054722024,-1.55476663208
-0.27295731707317067,-0.006838491403496211,-0.002159940998103675,-1.58379941624
-0.2710426829268292,-0.006838491403496211,-0.002200077368029506,-1.61322983092
-0.2691280487804878,-0.006838491403496211,-0.0022405621722839286,-1.64291573873
-0.26721341463414633,-0.006806449503316579,-0.0022816010387167996,-1.67300791845
-0.26529878048780486,-0.006806449503316579,-0.002322966242597276,-1.70333938853
-0.2633841463414634,-0.00676125581735883,-0.0023649010397941792,-1.73408851889
-0.26146951219512193,-0.00676125581735883,-0.0024071370774506468,-1.76505853698
-0.25955487804878047,-0.00676125581735883,-0.0024499535632561686,-1.79645417477
